and	ja
dealer	välittäjä
bugs	ötököitä
bugs	vikoja
consistency	yhdenmukaisuus
consistency	johdonmukaisuus
consistency	johdonmukaisuutta
consistency	yhtenäisyys
consistency	johdonmukaisuuden
demanding	vaativat
demanding	vaativaa
explored	tutkittu
limitations	rajoitukset
limitations	rajoitteet
limitations	rajoituksia
lateral	sivusuunnassa
lovers	rakastavaiset
intentions	aikeet
comply	noudatettava
securities	arvopaperit
prohibition	kielto
prohibition	kieltäminen
acute	välitön
container	säiliö
container	kontti
emissions	päästöt
emissions	päästöjen
emissions	päästöjä
upgrade	päivittää
upgrade	päivitä
upgrade	päivitys
dining	ruokailu
survivor	selviytyjä
advancing	etenee
turks	turkkilaiset
turks	turkkilaisia
dishes	ruokia
dishes	astioita
loud	kovaa
loud	äänekäs
prosecution	syyttäjä
prosecution	syyte
eternal	ikuinen
eternal	ikuista
eternal	ikuisen
ethical	eettiset
ethical	eettisiä
ethical	eettistä
ethical	eettisesti
tender	tarjouskilpailu
tender	hellä
yearly	vuosittaiset
yearly	vuosittain
yearly	vuosittainen
explosive	räjähtävät
explosive	räjähde
explosive	räjähteet
fathers	isiä
fathers	isät
revealing	paljastaminen
revealing	paljastaa
similarities	yhtäläisyyksiä
violates	rikkoo
surrendered	luovutettu
feminine	naisellinen
walked	käveli
walked	kävellyt
shadows	varjojen
shadows	varjoja
breach	rikkoo
behavioral	käytös
monasteries	luostareita
rope	köysi
rope	köyttä
cache	välimuisti
odds	todennäköisyys
odds	kertoimet
transmitter	lähetin
transmitter	lähettimen
steal	varastaa
identifies	yksilöi
pension	eläkkeen
pension	eläke
teaches	opettaa
lightweight	kevyet
lightweight	kevyt
prints	sormenjälkiä
prints	sormenjäljet
switching	vaihtaminen
switching	vaihdan
possessed	riivattu
cooling	jäähdytys
electorate	äänestäjät
electorate	äänestäjiä
dash	viiva
timing	ajoitus
timing	ajankohta
memoirs	muistelmat
presumed	oletettu
presumed	oletetaan
presumed	oletetun
spike	piikki
apps	sovellukset
apps	sovelluksia
apps	sovelluksista
translate	käännä
translate	kääntää
flesh	lihaa
expired	vanhentunut
expired	vanhentuneet
expired	päättynyt
distances	etäisyydet
cow	lehmän
cow	lehmä
accommodation	majoitusta
accommodation	majoitus
accommodation	majoituksen
clarification	selvennystä
deadly	kuolettava
marching	marssi
assess	arvioi
assess	arvioida
phones	puhelimet
phones	puhelimia
thoroughly	perusteellisesti
specify	määritä
specify	määrittele
cloth	kangas
cloth	kankaalla
cafe	kahvila
cafe	kahvilassa
sandbox	hiekkalaatikko
orphan	orpo
meaningful	merkityksellistä
meaningful	merkityksellinen
meaningful	mielekästä
invaded	hyökkäsi
illustrator	kuvittaja
celebrations	juhlinta
strain	rasittaa
deletions	poistot
forestry	metsätalouden
forestry	metsätalous
struggling	kamppailee
advantages	edut
advantages	etuja
mood	tuulella
mood	mielialan
mood	tunnelmaa
educators	kasvattajien
swimmer	uimari
tunnels	tunneleissa
wagon	vaunut
checks	tarkastukset
checks	tarkastuksia
trigger	laukaisin
reinforced	vahvistetut
reinforced	vahvistettu
pipes	putket
pipes	putkia
invisible	näkymättömiä
invisible	näkymätön
intro	esittely
implications	seuraukset
coronation	kruunajaiset
gifts	lahjoja
gifts	lahjat
livestock	karjaa
confirmation	vahvistus
confirmation	vahvistuksen
confirmation	vahvistusta
volcano	tulivuori
taxi	taksia
taxi	taksilla
disagreement	erimielisyyttä
disagreement	erimielisyydet
refuse	kieltäytyä
refuse	evätä
refuse	kieltäydy
cyclist	pyöräilijä
laboratories	laboratorioiden
localities	paikkakunnat
responding	vastaaminen
fabric	kankaan
fabric	kangas
starter	startti
replaceable	vaihdettava
replaceable	vaihdettavissa
flexible	joustavat
flexible	joustavuus
modifications	muutokset
modifications	muutoksia
convincing	vakuuttava
convincing	vakuuttavaa
homeless	kodittomia
carriage	vaunut
obsolete	vanhentunut
obsolete	vanhentuneita
obsolete	vanhentuneet
inclined	halukas
inclined	taipuvainen
effectiveness	tehokkuutta
effectiveness	tehokkuus
effectiveness	tehokkuuden
retire	eläkkeelle
renewable	uusiutuvat
renewable	uusiutuvan
renewable	uusiutuva
safely	turvallisesti
dissolution	liuennut
dissolution	purkaminen
dissolution	hajoaminen
unemployment	työttömyysaste
unemployment	työttömyyttä
unemployment	työttömyys
sodium	natriumia
crow	korppi
interrupted	keskeytti
quantities	määriä
quantities	määrät
arise	nouskaa
countryside	maaseudun
countryside	maaseutu
countryside	maaseutua
wished	toivoi
rectangular	suorakaiteen
transfers	tulonsiirrot
transfers	siirtoja
transfers	siirrot
specialty	erikoisuus
charities	hyväntekeväisyys
loosely	löyhästi
comfort	mukavuutta
comfort	lohduttaa
broadly	laajalti
broadly	laajasti
shooter	ampuja
enlarged	suurentunut
enlarged	laajentunut
enlarged	laajennettu
logged	kirjatut
logged	kirjautunut
affecting	vaikuttavat
affecting	vaikuttavan
glad	iloinen
happiness	onnen
happiness	onnellisuus
warehouse	varastossa
miracle	ihme
kindergarten	lastentarhan
synthetic	synteettistä
synthetic	synteettinen
synthetic	synteettiset
adviser	neuvonantaja
adviser	neuvos
accepts	hyväksyy
cartoons	piirrettyjä
irregular	epäsäännöllinen
financing	rahoitus
financing	rahoitusta
admits	myöntää
passive	passiivinen
passive	passiivisen
fiber	kuituja
mice	hiiri
mice	hiirillä
mice	hiiriä
unveiled	paljastettiin
tired	väsynyt
tired	väsyttää
tired	väsy
wage	palkkojen
wage	palkka
worried	huolestunut
worried	huolissaan
worried	huolissani
mothers	äitejä
mothers	äidit
mothers	äitien
capitals	pääkaupungeissa
descendant	jälkeläinen
poison	myrkky
poison	myrkkyä
royals	kuninkaalliset
invested	sijoitettu
invested	sijoittanut
invested	sijoitti
resembles	muistuttaa
deny	kieltää
deny	kiistää
deny	kiellä
shapes	muotoja
shapes	hahmot
shapes	muodot
professionally	ammattimaisesti
emotions	tunteet
emotions	tunteita
emotions	tunteisiin
freed	vapautti
freed	vapautettu
sketches	luonnokset
sketches	luonnoksia
sketches	piirrokset
cellular	matkapuhelin
unexpected	odottamaton
unexpected	yllättävä
unexpected	odottamatonta
spreading	leviää
spreading	levittäminen
spreading	leviävät
spreading	leviäminen
puzzle	arvoitus
diamonds	timantteja
roses	ruusuja
competitor	kilpailija
competitor	kilpailijan
pipeline	putken
protective	suojaava
affects	vaikuttaa
kicked	potkaisi
promises	lupauksia
promises	lupaukset
phases	vaiheita
phases	vaiheet
progression	etenemiseen
progression	etenemistä
discoveries	löytöjä
polls	kyselyt
dubious	epäilyttävä
dubious	kyseenalainen
desperate	epätoivoinen
outcomes	tulosten
tips	vinkit
tips	vinkkejä
tips	vihjeet
tips	vihjeitä
ministries	ministeriöiden
conclusions	päätelmät
conclusions	johtopäätökset
reporters	toimittajia
reporters	toimittajat
steering	ohjaus
steering	ohjauksen
drunk	kännissä
drunk	humalassa
folded	taitettu
swim	uimaan
expenses	kulut
theaters	teatterit
projected	ennustettu
functioning	toimiva
query	kyselyn
query	kysely
nowadays	nykyisin
nowadays	nykyään
accomplishments	saavutuksia
accomplishments	saavutukset
brave	rohkea
dirt	multaa
evaluate	arvioi
evaluate	arvioida
meanings	merkityksiä
reluctant	haluton
reluctant	vastahakoinen
imagination	mielikuvitusta
imagination	mielikuvituksen
imagination	mielikuvitus
slogan	iskulause
hunters	metsästäjiä
hunters	metsästäjät
demolition	purku
natives	alkuasukkaita
preparatory	valmistelevat
fence	aitaa
crush	ihastunut
exploring	tutkimassa
exploring	tutustuminen
continuity	jatkuvuutta
continuity	jatkuvuuden
continuity	jatkuvuus
clouds	pilviä
clouds	pilvistä
clouds	pilvet
verification	tarkastus
reduces	vähentää
regulated	säännelty
lonely	yksinäistä
lonely	yksinäiseksi
lonely	yksinäinen
structured	jäsennelty
newsletter	uutiskirje
ink	mustetta
swept	pyyhkäisi
pointless	turhaa
declare	julistaa
privileges	oikeudet
privileges	etuoikeuksia
pleased	tyytyväinen
commercials	mainoksia
faithful	uskollinen
faithful	uskolliset
launching	käynnistetään
launching	käynnistäminen
launching	käynnistää
storms	myrskyt
logistics	logistiikka
satellites	satelliitit
ashes	tuhka
ashes	tuhkaa
ashes	tuhkat
advise	neuvo
advise	neuvoa
advise	neuvot
advise	neuvoo
enables	mahdollistaa
wounds	haavat
wounds	haavoja
alternatives	vaihtoehtoja
alternatives	vaihtoehdot
alternatives	vaihtoehtoiset
turtle	kilpikonna
cake	kakku
pulse	pulssi
eaten	syönyt
eaten	syöty
honestly	rehellisesti
validity	pätevyys
validity	voimassaolo
employers	työnantaja
employers	työnantajat
employers	työnantajien
employers	työnantajille
curse	kirottu
breakthrough	läpimurto
europeans	eurooppalaisia
europeans	eurooppalaiset
viewer	katsoja
viewer	katsojaa
viewer	katsojan
russians	venäläisiä
russians	venäläiset
shields	suojat
shields	kilvet
analyst	analyytikko
filing	arkistointi
stays	pysyy
twist	kierre
twist	vääntää
bury	hautaa
premium	palkkio
hire	palkkaa
hire	palkata
hire	vuokraus
isolation	eristäminen
isolation	eristyksissä
raven	korppi
introduces	esittelee
appropriately	asianmukaisesti
patents	patenttien
patents	patentti
patents	patentteja
utilized	hyödynnetty
searched	etsinyt
thrust	työntövoima
predators	saalistajia
panic	paniikkia
panic	paniikki
warming	lämpenee
warming	lämpeneminen
ears	korvat
courtesy	kohteliaisuus
treating	kohtelee
subscription	tilausta
subscription	tilaus
perspectives	näkymiä
perspectives	näkymät
perspectives	näköalat
revelation	ilmestys
rows	riviä
functionality	toimintoja
functionality	toimivuus
functionality	toimintoa
functionality	toiminnot
functionality	toiminto
shocked	järkyttynyt
autonomy	riippumattomuus
autonomy	itsenäisyys
frequencies	taajuuksia
protesters	mielenosoittajien
protesters	mielenosoittajia
inflation	inflaatio
interpretations	tulkinnat
appealed	vetosi
marginal	marginaalinen
shame	häpeä
genetics	genetiikan
motivation	motivaatiota
motivation	motivaatio
teenager	teini
vocational	ammatillisen
vocational	ammatillinen
afterward	jälkeenpäin
balloon	ilmapallo
screw	ruuvi
talked	puhui
surprising	yllättävä
surprising	yllättävää
overwhelming	ylivoimainen
rats	rottia
installations	laitosten
installations	laitteistot
installations	laitokset
projection	projektio
collectors	keräilijät
sands	hiekka
shoe	kenkä
basket	koriin
voter	äänestäjien
aliens	muukalaisia
aliens	muukalaiset
practically	käytännössä
definitive	lopullisen
promotes	edistää
complications	komplikaatioita
employ	työllistää
abandon	hylkää
abandon	hylätä
marriages	avioliitot
probable	todennäköinen
probable	todennäköistä
accent	aksentti
meal	ateria
mirrors	peilejä
remnants	jäänteitä
remnants	jäänteet
expressions	ilmaisuja
expressions	ilmaisujen
vegetables	kasvikset
vegetables	vihanneksia
vegetables	vihannekset
psychiatric	psyykkiset
tense	kireä
tense	jännittynyt
hectares	hehtaaria
fears	pelkoja
fits	sopii
fits	mahtuu
rotten	mätä
fury	raivoa
fury	raivo
confident	itsevarma
confident	luottavainen
mobility	liikkuvuutta
mobility	liikkuvuus
registry	rekisterin
registry	rekisteri
leased	vuokrattu
sophisticated	sivistynyt
sophisticated	hienostunut
acknowledge	tunnusta
acknowledge	tunnustettava
acknowledge	kuittaa
textbook	oppikirja
sealed	sinetöity
commissions	valiokunnat
commissions	valiokuntien
commissions	palkkiot
databases	tietokannat
databases	tietokantoihin
inheritance	perintö
inheritance	perinnön
counterpart	vastine
ugly	rumia
transaction	tapahtuma
substances	aineita
substances	aineet
ensuring	varmistetaan
ensuring	varmistaminen
fencing	miekkailu
install	asennetaan
install	asentaa
install	asennus
announces	ilmoittaa
wheelchair	pyörätuolin
wheelchair	pyörätuoli
refusing	kieltäytyy
stripped	riisuttu
possibilities	mahdollisuuksia
possibilities	mahdollisuuksien
possibilities	mahdollisuudet
syntax	syntaksi
similarity	samankaltaisuus
launches	käynnistää
tricks	temppuja
partnerships	kumppanuus
terminated	lopetettu
salvation	pelastusta
salvation	pelastuksen
adjusted	mukautettu
adjusted	oikaistu
guaranteed	takuu
dove	kyyhkynen
beneficial	hyödyllistä
gym	salille
patriotic	isänmaallinen
suspects	epäiltyjä
suspects	epäillyt
suspects	epäilee
ads	mainoksista
ads	mainosten
ads	mainokset
ads	mainoksia
collectively	yhteisesti
revenues	tuotot
revenues	tulot
licenses	lisenssit
licenses	lisenssien
cultivation	viljelyä
cultivation	viljelyyn
credible	uskottava
credible	uskottavaa
ingredients	aineet
ingredients	ainekset
shipped	lähetetty
dramatically	dramaattisesti
password	salasanan
password	salasana
precious	arvokas
precious	arvokasta
emblem	tunnus
plague	ruttoa
pie	piirakka
spiral	kierre
tensions	jännitteet
tensions	jännitteitä
cement	sementtiä
refugee	pakolaisten
continually	jatkuvasti
donation	lahjoitus
donation	lahjoituksen
donation	luovutuksen
donation	luovutus
numbering	numerointi
café	kahvila
correction	korjaus
correction	korjaan
correction	oikaisu
crusade	ristiretki
extensions	laajennukset
vacation	loman
vacation	lomalle
boots	saappaat
skeleton	luuranko
lawn	nurmikko
forgot	unohdin
forgot	unohti
treatments	hoitoja
treatments	hoitojen
treatments	hoidot
resume	jatka
unlimited	rajoittamaton
attitudes	asenteet
attitudes	asenne
attitudes	asenteita
attitudes	suhtautuminen
decisive	ratkaisevaa
decisive	ratkaiseva
decisive	ratkaisevat
decisive	päättäväinen
decisive	määräävä
boost	mainosta
boost	mainostaa
boost	edistä
boost	mainostaminen
neighbors	naapurit
restoring	palauttaminen
restoring	palauttaa
restoring	palautetaan
abundant	runsasta
abundant	runsaasti
breathing	hengitys
breathing	hengittää
prone	taipuvainen
birthplace	syntymäpaikka
doll	nukke
doll	nukkea
campuses	kampuksilla
rotating	pyörivä
angles	kulmat
tolerance	suvaitsevaisuuden
tolerance	suvaitsevaisuutta
survives	selviää
combines	yhdistyvät
memorable	ikimuistoinen
traders	kauppiaat
traders	kauppiaiden
traders	välittäjät
sink	upottaa
concentrate	keskity
concentrate	keskittyä
paved	päällystetty
airplane	lentokoneen
airplane	lentokone
demonstrating	osoittaminen
blamed	syytti
globally	maailmanlaajuisesti
villagers	kyläläiset
bullets	luoteja
demonstrations	mielenosoitukset
demonstrations	mielenosoituksia
demonstrations	mielenosoitus
drinks	juomia
drinks	juomaa
drinks	juomat
drinks	juotavaa
prosecutor	syyttäjä
photographed	kuvattuna
photographed	kuvattu
inaccurate	epätarkka
dive	sukeltaa
simplified	yksinkertaistettua
simplified	yksinkertaistettu
reject	hylkää
reject	hylätä
smile	hymyä
smile	hymyile
feared	pelkäsi
feared	pelännyt
feared	pelkäsivät
feared	pelätään
injection	injektio
nurses	hoitajat
declaring	julistaa
proving	todistaa
sanction	seuraamus
employs	työllistää
darker	tummempi
borrowed	lainattu
criticisms	kritiikkiä
criticisms	arvostelua
philanthropist	hyväntekijä
priory	luostari
spectators	katsojat
spectators	katsojia
wages	palkat
wages	palkka
wages	palkkoja
floods	tulvat
floods	tulvia
weakened	heikentynyt
twilight	houkutus
twilight	hämärän
twilight	hämärä
nitrogen	typpeä
harmful	haitallista
harmful	haitallisia
harmful	haitalliset
occurrence	esiintyminen
settling	asettuu
categorized	luokiteltu
proportional	suhteellisesti
proportional	suhteellinen
proportional	suhteutettu
speeches	puheita
speeches	puheenvuorot
speeches	puheet
lobby	aulassa
supervisor	esimies
minorities	vähemmistöt
minorities	vähemmistöjen
minorities	vähemmistöjä
blades	terät
printer	tulostin
thumb	peukalo
butterflies	perhosia
hostage	panttivanki
hostage	panttivangin
rude	tyly
rude	epäkohteliasta
rude	töykeä
soup	keittoa
battleship	taistelulaiva
dissertation	väitöskirja
denominations	nimitykset
peasants	talonpojat
throat	kurkku
celebrating	juhli
celebrating	juhlia
celebrating	juhlimassa
fortified	linnoitettu
inadequate	puutteellinen
inadequate	riittämättömät
inadequate	riittämätön
caste	kastiin
prisons	vankiloissa
prisons	vankilat
limiting	rajoittaa
limiting	rajoittamalla
limiting	rajoittaminen
touched	koskenut
touched	kosketti
repeating	toistuva
repeating	toistaa
sexually	seksuaalisesti
sexually	seksuaalinen
deposit	tallettaa
observers	tarkkailijoiden
observers	tarkkailijoita
observers	tarkkailijat
batch	erän
breath	henkäys
caution	varovaisuutta
turnout	äänestysprosentti
revisions	korjaukset
jokes	vitsejä
bark	haukkua
diabetes	diabeteksen
framed	lavastettu
framed	lavasti
lesson	opetus
lesson	oppitunti
tenants	vuokralaiset
geo	maantieteelliset
critique	kritiikki
critique	kritiikkiä
emergence	syntyminen
emergence	syntymistä
canceled	peruutettu
canceled	perui
canceled	peruttu
damaging	haitallista
taxation	verotuksen
taxation	verotusta
taxation	verotus
clarity	selkeyttä
clarity	selkeys
clarity	selkeyden
incredible	uskomatonta
incredible	uskomaton
resided	asunut
qualifications	tutkintojen
qualifications	pätevyys
poetic	runollista
void	tyhjyys
void	tyhjiö
void	mitätön
hereditary	perinnöllinen
mater	martti
contests	kilpailut
contests	kilpailujen
contests	kilpailuja
warn	varoittaa
realism	realismia
intentionally	tahallisesti
intentionally	tarkoituksellisesti
assumes	olettaa
grouped	ryhmitelty
downstream	alajuoksulla
tens	kymmeniä
tens	kymmenet
anticipated	odotettavissa
anticipated	odotettu
nutrition	ravinto
nutrition	ravitsemus
robbery	ryöstö
unusually	epätavallisen
ducks	ankkoja
screens	näytöt
packaging	pakkaus
packaging	pakkaukset
apology	anteeksipyyntö
pulling	vetäminen
pulling	vetää
attribute	ominaisuuden
cpu	suoritin
displaying	näytetään
displaying	näkyvillä
displaying	näyttäminen
costumes	puvut
